old	new
pm0000_00_00_00_big.png	Pokemon-Egg.png
pm0001_00_00_00_big.png	Bulbasaur.png
pm0002_00_00_00_big.png	Ivysaur.png
pm0003_00_00_00_big.png	Venusaur.png
pm0003_01_00_00_big.png	Venusaur-f.png
pm0004_00_00_00_big.png	Charmander.png
pm0005_00_00_00_big.png	Charmeleon.png
pm0006_00_00_00_big.png	Charizard.png
pm0007_00_00_00_big.png	Squirtle.png
pm0008_00_00_00_big.png	Wartortle.png
pm0009_00_00_00_big.png	Blastoise.png
pm0023_00_00_00_big.png	Ekans.png
pm0024_00_00_00_big.png	Arbok.png
pm0025_00_00_00_big.png	Pikachu.png
pm0025_01_00_00_big.png	Pikachu-f.png
pm0025_11_00_00_big.png	Pikachu-Original.png
pm0025_12_00_00_big.png	Pikachu-Hoenn.png
pm0025_13_00_00_big.png	Pikachu-Sinnoh.png
pm0025_14_00_00_big.png	Pikachu-Unova.png
pm0025_15_00_00_big.png	Pikachu-Kalos.png
pm0025_16_00_00_big.png	Pikachu-Alola.png
pm0025_17_00_00_big.png	Pikachu-Partner.png
pm0025_18_00_00_big.png	Pikachu-World.png
pm0026_00_00_00_big.png	Raichu.png
pm0026_00_11_00_big.png	Raichu-Alola.png
pm0026_01_00_00_big.png	Raichu-f.png
pm0027_00_00_00_big.png	Sandshrew.png
pm0027_00_11_00_big.png	Sandshrew-Alola.png
pm0028_00_00_00_big.png	Sandslash.png
pm0028_00_11_00_big.png	Sandslash-Alola.png
pm0035_00_00_00_big.png	Clefairy.png
pm0036_00_00_00_big.png	Clefable.png
pm0037_00_00_00_big.png	Vulpix.png
pm0037_00_11_00_big.png	Vulpix-Alola.png
pm0038_00_00_00_big.png	Ninetales.png
pm0038_00_11_00_big.png	Ninetales-Alola.png
pm0039_00_00_00_big.png	Jigglypuff.png
pm0040_00_00_00_big.png	Wigglytuff.png
pm0043_00_00_00_big.png	Oddish.png
pm0044_00_00_00_big.png	Gloom.png
pm0044_01_00_00_big.png	Gloom-f.png
pm0045_00_00_00_big.png	Vileplume.png
pm0045_01_00_00_big.png	Vileplume-f.png
pm0048_00_00_00_big.png	Venonat.png
pm0049_00_00_00_big.png	Venomoth.png
pm0050_00_00_00_big.png	Diglett.png
pm0050_00_11_00_big.png	Diglett-Alola.png
pm0051_00_00_00_big.png	Dugtrio.png
pm0051_00_11_00_big.png	Dugtrio-Alola.png
pm0052_00_00_00_big.png	Meowth.png
pm0052_00_11_00_big.png	Meowth-Alola.png
pm0052_00_31_00_big.png	Meowth-Galar.png
pm0053_00_00_00_big.png	Persian.png
pm0053_00_11_00_big.png	Persian-Alola.png
pm0054_00_00_00_big.png	Psyduck.png
pm0055_00_00_00_big.png	Golduck.png
pm0056_00_00_00_big.png	Mankey.png
pm0057_00_00_00_big.png	Primeape.png
pm0058_00_00_00_big.png	Growlithe.png
pm0058_00_41_00_big.png	Growlithe-Hisui.png
pm0059_00_00_00_big.png	Arcanine.png
pm0059_00_41_00_big.png	Arcanine-Hisui.png
pm0060_00_00_00_big.png	Poliwag.png
pm0061_00_00_00_big.png	Poliwhirl.png
pm0062_00_00_00_big.png	Poliwrath.png
pm0069_00_00_00_big.png	Bellsprout.png
pm0070_00_00_00_big.png	Weepinbell.png
pm0071_00_00_00_big.png	Victreebel.png
pm0072_00_00_00_big.png	Tentacool.png
pm0073_00_00_00_big.png	Tentacruel.png
pm0074_00_00_00_big.png	Geodude.png
pm0074_00_11_00_big.png	Geodude-Alola.png
pm0075_00_00_00_big.png	Graveler.png
pm0075_00_11_00_big.png	Graveler-Alola.png
pm0076_00_00_00_big.png	Golem.png
pm0076_00_11_00_big.png	Golem-Alola.png
pm0079_00_00_00_big.png	Slowpoke.png
pm0079_00_31_00_big.png	Slowpoke-Galar.png
pm0080_00_00_00_big.png	Slowbro.png
pm0080_00_31_00_big.png	Slowbro-Galar.png
pm0081_00_00_00_big.png	Magnemite.png
pm0082_00_00_00_big.png	Magneton.png
pm0084_00_00_00_big.png	Doduo.png
pm0084_01_00_00_big.png	Doduo-f.png
pm0085_00_00_00_big.png	Dodrio.png
pm0085_01_00_00_big.png	Dodrio-f.png
pm0086_00_00_00_big.png	Seel.png
pm0087_00_00_00_big.png	Dewgong.png
pm0088_00_00_00_big.png	Grimer.png
pm0088_00_11_00_big.png	Grimer-Alola.png
pm0089_00_00_00_big.png	Muk.png
pm0089_00_11_00_big.png	Muk-Alola.png
pm0090_00_00_00_big.png	Shellder.png
pm0091_00_00_00_big.png	Cloyster.png
pm0092_00_00_00_big.png	Gastly.png
pm0093_00_00_00_big.png	Haunter.png
pm0094_00_00_00_big.png	Gengar.png
pm0096_00_00_00_big.png	Drowzee.png
pm0097_00_00_00_big.png	Hypno.png
pm0097_01_00_00_big.png	Hypno-f.png
pm0100_00_00_00_big.png	Voltorb.png
pm0100_00_41_00_big.png	Voltorb-Hisui.png
pm0101_00_00_00_big.png	Electrode.png
pm0101_00_41_00_big.png	Electrode-Hisui.png
pm0102_00_00_00_big.png	Exeggcute.png
pm0103_00_00_00_big.png	Exeggutor.png
pm0103_00_11_00_big.png	Exeggutor-Alola.png
pm0106_00_00_00_big.png	Hitmonlee.png
pm0107_00_00_00_big.png	Hitmonchan.png
pm0109_00_00_00_big.png	Koffing.png
pm0110_00_00_00_big.png	Weezing.png
pm0110_00_31_00_big.png	Weezing-Galar.png
pm0111_00_00_00_big.png	Rhyhorn.png
pm0111_01_00_00_big.png	Rhyhorn-f.png
pm0112_00_00_00_big.png	Rhydon.png
pm0112_01_00_00_big.png	Rhydon-f.png
pm0113_00_00_00_big.png	Chansey.png
pm0116_00_00_00_big.png	Horsea.png
pm0117_00_00_00_big.png	Seadra.png
pm0123_00_00_00_big.png	Scyther.png
pm0123_01_00_00_big.png	Scyther-f.png
pm0125_00_00_00_big.png	Electabuzz.png
pm0126_00_00_00_big.png	Magmar.png
pm0128_00_00_00_big.png	Tauros.png
pm0128_11_51_00_big.png	Tauros-Paldea-Combat.png
pm0128_12_51_00_big.png	Tauros-Paldea-Blaze.png
pm0128_13_51_00_big.png	Tauros-Paldea-Aqua.png
pm0129_00_00_00_big.png	Magikarp.png
pm0129_01_00_00_big.png	Magikarp-f.png
pm0130_00_00_00_big.png	Gyarados.png
pm0130_01_00_00_big.png	Gyarados-f.png
pm0131_00_00_00_big.png	Lapras.png
pm0132_00_00_00_big.png	Ditto.png
pm0133_00_00_00_big.png	Eevee.png
pm0133_01_00_00_big.png	Eevee-f.png
pm0134_00_00_00_big.png	Vaporeon.png
pm0135_00_00_00_big.png	Jolteon.png
pm0136_00_00_00_big.png	Flareon.png
pm0137_00_00_00_big.png	Porygon.png
pm0143_00_00_00_big.png	Snorlax.png
pm0144_00_00_00_big.png	Articuno.png
pm0144_00_31_00_big.png	Articuno-Galar.png
pm0145_00_00_00_big.png	Zapdos.png
pm0145_00_31_00_big.png	Zapdos-Galar.png
pm0146_00_00_00_big.png	Moltres.png
pm0146_00_31_00_big.png	Moltres-Galar.png
pm0147_00_00_00_big.png	Dratini.png
pm0148_00_00_00_big.png	Dragonair.png
pm0149_00_00_00_big.png	Dragonite.png
pm0150_00_00_00_big.png	Mewtwo.png
pm0151_00_00_00_big.png	Mew.png
pm0152_00_00_00_big.png	Chikorita.png
pm0153_00_00_00_big.png	Bayleef.png
pm0154_00_00_00_big.png	Meganium.png
pm0154_01_00_00_big.png	Meganium-f.png
pm0155_00_00_00_big.png	Cyndaquil.png
pm0156_00_00_00_big.png	Quilava.png
pm0157_00_00_00_big.png	Typhlosion.png
pm0157_00_41_00_big.png	Typhlosion-Hisui.png
pm0158_00_00_00_big.png	Totodile.png
pm0159_00_00_00_big.png	Croconaw.png
pm0160_00_00_00_big.png	Feraligatr.png
